Match Day Number,Date of the Game,Home Team,Away Team,Result,Goal Scorers,Yellow Cards,Yellow Card Players,Red Cards,Red Card Players,Attendance
14,2023-11-17 15:30,Elbwelle Titans,Sonnendorf Stars,2-2,"Yusuf Huber, Yusuf Becker, Florian Schmidt, Florian Lehmann",2,"Jonas Lehmann, Jonas Traoré",0,,21214
14,2023-11-17 15:30,Bayerhafen Dynamo,Adlerstadt Eagles,5-3,"Marco Becker, Patrick Larsen, Patrick Larsen, Jonas Silva, Florian Traoré, Yusuf Lehmann, Santiago Kaya, Mamadou Krämer",3,"Jonas Schmidt, Florian Becker, Marco Huber",0,,52909
14,2023-11-17 18:30,Schwarzwald Strikers,Rheinblick Rovers,2-0,"Florian García, Jonas Lehmann",2,"Patrick Krämer, Patrick Krämer",1,Florian Traoré,35529
14,2023-11-17 15:30,Donnerwald Thunder,Eisbach Falcons,4-3,"Emil García, Marco García, Santiago Larsen, Marco Krämer, Mamadou Krämer, Yusuf Larsen, Lukas Müller",0,,1,Ismael Schmidt,23193
14,2023-11-17 17:30,Hafenstadt Mariners,Mainburg Lions,1-4,"Marco Larsen, Ismael Krämer, Emil García, Timo Lehmann, Lukas Krämer",0,,0,,30048
15,2023-11-24 20:30,Elbwelle Titans,Schwarzwald Strikers,3-0,"Santiago Huber, Marco Schmidt, Lukas Huber",1,Santiago Huber,1,Mamadou Lehmann,24925
15,2023-11-24 15:30,Sonnendorf Stars,Hansestadt Gladiators,2-1,"Mamadou Silva, Mamadou Müller, Ismael Kaya",1,Emil Silva,1,Florian Lehmann,24510
15,2023-11-24 15:30,Alpenheim Warriors,Blitzstadt Lightning,1-1,"Marco Müller, Florian Larsen",0,,1,Florian Becker,24784
15,2023-11-24 15:30,Weserwind Wolves,Donnerwald Thunder,2-5,"Emil Lehmann, Yusuf Müller, Emil Kaya, Lukas Müller, Marco Larsen, Emil Müller, Patrick Krämer",0,,0,,28015
15,2023-11-24 15:30,Rheinblick Rovers,Mainburg Lions,4-0,"Ismael Schmidt, Lukas Silva, Santiago Lehmann, Mamadou Traoré",3,"Patrick Krämer, Mamadou Silva, Marco Huber",0,,40936
15,2023-11-24 15:30,Eisbach Falcons,Bayerhafen Dynamo,5-3,"Ismael Lehmann, Timo Huber, Emil Lehmann, Florian Lehmann, Mamadou Krämer, Emil Krämer, Lukas Müller, Marco Lehmann",4,"Ismael Lehmann, Emil Lehmann, Jonas Schmidt, Patrick Lehmann",0,,20474
15,2023-11-24 18:30,Kaiserstadt Kings,Nordsee Navigators,2-5,"Jonas Huber, Santiago Traoré, Patrick Krämer, Mamadou Becker, Jonas Becker, Emil Lehmann, Yusuf Müller",4,"Patrick Schmidt, Ismael Larsen, Marco Becker, Jonas Schmidt",1,Patrick Kaya,54536
15,2023-11-24 15:30,Bergland Bears,Ostheim Phoenix,0-2,"Lukas Müller, Yusuf Krämer",2,"Emil Silva, Ismael Becker",1,Ismael Becker,17176
15,2023-11-24 17:30,Adlerstadt Eagles,Hafenstadt Mariners,3-4,"Jonas Silva, Patrick Becker, Patrick Müller, Yusuf García, Jonas Müller, Marco Huber, Yusuf Schmidt",2,"Marco Huber, Patrick Schmidt",1,Ismael Traoré,60190
16,2023-12-01 20:30,Schwarzwald Strikers,Hafenstadt Mariners,2-5,"Patrick Silva, Santiago Huber, Mamadou Krämer, Jonas Silva, Santiago Silva, Timo Krämer, Mamadou Huber",0,,1,Mamadou Huber,35613
16,2023-12-01 15:30,Rheinblick Rovers,Kaiserstadt Kings,1-3,"Jonas Lehmann, Florian García, Ismael Larsen, Marco García",1,Ismael Krämer,0,,42609
16,2023-12-01 15:30,Elbwelle Titans,Eisbach Falcons,3-0,"Emil García, Santiago Larsen, Yusuf Becker",0,,0,,19461
16,2023-12-01 15:30,Hansestadt Gladiators,Nordsee Navigators,4-5,"Emil Traoré, Yusuf Kaya, Mamadou Müller, Florian Traoré, Jonas Traoré, Yusuf Müller, Patrick Kaya, Ismael Kaya, Florian Lehmann",3,"Jonas Schmidt, Jonas Huber, Marco Becker",1,Florian Larsen,35939
16,2023-12-01 15:30,Ostheim Phoenix,Sonnendorf Stars,4-2,"Mamadou Huber, Lukas Müller, Yusuf Schmidt, Mamadou García, Ismael Becker, Yusuf Krämer",0,,0,,31955
16,2023-12-01 15:30,Weserwind Wolves,Bergland Bears,4-2,"Ismael Lehmann, Patrick Krämer, Jonas Becker, Emil Traoré, Jonas Kaya, Emil Kaya",3,"Patrick Becker, Patrick Kaya, Yusuf García",0,,30520
16,2023-12-01 18:30,Adlerstadt Eagles,Alpenheim Warriors,5-5,"Yusuf Huber, Ismael Becker, Patrick Schmidt, Florian Müller, Ismael Müller, Patrick Larsen, Jonas Müller, Marco Müller, Ismael Müller, Mamadou Larsen",3,"Florian Krämer, Florian Müller, Florian Larsen",0,,55887
16,2023-12-01 15:30,Donnerwald Thunder,Blitzstadt Lightning,5-3,"Florian Larsen, Mamadou Larsen, Lukas García, Mamadou Larsen, Patrick Larsen, Ismael Becker, Florian Becker, Yusuf Kaya",0,,1,Timo Krämer,22088
16,2023-12-01 17:30,Bayerhafen Dynamo,Mainburg Lions,0-5,"Santiago Huber, Timo Huber, Yusuf Lehmann, Marco Larsen, Mamadou Krämer",1,Florian Lehmann,1,Patrick Lehmann,46257
17,2023-12-08 20:30,Hansestadt Gladiators,Sonnendorf Stars,1-3,"Florian Kaya, Jonas Lehmann, Ismael Huber, Mamadou Becker",2,"Marco Becker, Mamadou Becker",0,,36371
17,2023-12-08 15:30,Blitzstadt Lightning,Hafenstadt Mariners,3-0,"Lukas Silva, Mamadou Larsen, Timo Lehmann",4,"Ismael Krämer, Emil Becker, Florian Silva, Lukas Müller",1,Patrick Becker,38754
17,2023-12-08 15:30,Elbwelle Titans,Alpenheim Warriors,5-5,"Jonas Larsen, Timo Krämer, Marco Müller, Emil Becker, Florian Schmidt, Jonas Krämer, Jonas Silva, Mamadou Schmidt, Marco Schmidt, Santiago Silva",2,"Santiago Silva, Marco Huber",0,,20499
17,2023-12-08 15:30,Bayerhafen Dynamo,Eisbach Falcons,4-4,"Yusuf Lehmann, Lukas Müller, Timo Traoré, Ismael Krämer, Marco Becker, Mamadou Krämer, Patrick Larsen, Santiago Kaya",0,,0,,53606
17,2023-12-08 15:30,Kaiserstadt Kings,Adlerstadt Eagles,3-0,"Jonas Silva, Jonas Kaya, Mamadou Becker",1,Santiago Traoré,0,,51258
17,2023-12-08 15:30,Schwarzwald Strikers,Nordsee Navigators,3-5,"Yusuf García, Florian Huber, Yusuf Müller, Patrick Kaya, Ismael Schmidt, Timo Müller, Emil Schmidt, Emil Lehmann",0,,0,,27636
17,2023-12-08 18:30,Rheinblick Rovers,Bergland Bears,2-4,"Marco Schmidt, Mamadou Huber, Patrick Krämer, Mamadou Traoré, Jonas Traoré, Yusuf García",2,"Florian Traoré, Ismael Schmidt",1,Patrick Kaya,35363
17,2023-12-08 15:30,Mainburg Lions,Donnerwald Thunder,5-2,"Marco Larsen, Yusuf Kaya, Santiago Huber, Emil Huber, Marco Larsen, Jonas Müller, Florian Kaya",0,,0,,48308
17,2023-12-08 17:30,Ostheim Phoenix,Weserwind Wolves,3-2,"Lukas Kaya, Patrick Larsen, Jonas Huber, Marco Huber, Santiago Kaya",3,"Marco Traoré, Lukas Silva, Yusuf Krämer",0,,31956
18,2023-12-15 20:30,Alpenheim Warriors,Sonnendorf Stars,0-2,"Santiago Silva, Jonas Lehmann",3,"Mamadou García, Ismael Becker, Ismael Huber",1,Florian Kaya,25466
18,2023-12-15 15:30,Ostheim Phoenix,Adlerstadt Eagles,5-4,"Lukas Silva, Jonas Silva, Patrick Kaya, Santiago Lehmann, Ismael Becker, Ismael García, Ismael Traoré, Santiago Kaya, Yusuf Krämer",1,Marco Traoré,1,Marco Huber,25772
18,2023-12-15 15:30,Hansestadt Gladiators,Elbwelle Titans,5-5,"Timo Huber, Jonas Huber, Jonas Larsen, Emil Becker, Mamadou Becker, Patrick Larsen, Patrick Silva, Mamadou Müller, Emil García, Florian Schmidt",0,,1,Ismael García,32273
18,2023-12-15 15:30,Bergland Bears,Weserwind Wolves,0-3,"Santiago Krämer, Ismael Lehmann, Yusuf Lehmann",3,"Jonas Traoré, Lukas Lehmann, Yusuf García",1,Patrick Krämer,15377
18,2023-12-15 15:30,Eisbach Falcons,Hafenstadt Mariners,0-3,"Timo Traoré, Lukas Traoré, Timo Krämer",0,,1,Timo Krämer,21731
18,2023-12-15 15:30,Nordsee Navigators,Donnerwald Thunder,3-2,"Marco Müller, Mamadou Larsen, Florian Traoré, Patrick Larsen, Yusuf Kaya",0,,0,,39356
18,2023-12-15 18:30,Blitzstadt Lightning,Bayerhafen Dynamo,2-3,"Emil Becker, Emil Huber, Jonas Huber, Florian Becker, Marco Becker",1,Lukas Müller,0,,40155
18,2023-12-15 15:30,Kaiserstadt Kings,Rheinblick Rovers,3-2,"Ismael Schmidt, Emil Traoré, Patrick Krämer, Ismael Krämer, Florian Traoré",4,"Patrick Kaya, Santiago Traoré, Ismael Schmidt, Santiago Becker",1,Yusuf García,45145
18,2023-12-15 17:30,Schwarzwald Strikers,Mainburg Lions,2-1,"Ismael Krämer, Mamadou Krämer, Timo Kaya",4,"Lukas Müller, Marco Kaya, Emil Schmidt, Mamadou Krämer",1,Santiago Huber,31021
19,2023-12-22 20:30,Adlerstadt Eagles,Ostheim Phoenix,1-0,Patrick Kaya,0,,1,Ismael Müller,69218
19,2023-12-22 15:30,Nordsee Navigators,Donnerwald Thunder,1-1,"Florian Kaya, Florian Huber",1,Patrick Schmidt,0,,35192
19,2023-12-22 15:30,Bayerhafen Dynamo,Hansestadt Gladiators,5-0,"Emil Silva, Ismael Krämer, Emil Huber, Emil Traoré, Marco Becker",3,"Patrick Larsen, Timo Becker, Emil Huber",0,,56120
19,2023-12-22 15:30,Alpenheim Warriors,Elbwelle Titans,3-5,"Santiago Silva, Santiago Huber, Emil Becker, Marco Huber, Florian Schmidt, Mamadou Lehmann, Mamadou Silva, Ismael Becker",2,"Mamadou Becker, Florian Krämer",1,Emil Schmidt,27312
19,2023-12-22 15:30,Mainburg Lions,Bergland Bears,0-1,Lukas Müller,3,"Lukas Larsen, Timo Krämer, Mamadou Becker",1,Patrick Kaya,39986
19,2023-12-22 15:30,Eisbach Falcons,Rheinblick Rovers,1-3,"Ismael Krämer, Lukas Müller, Emil Krämer, Marco Kaya",2,"Timo Müller, Santiago Traoré",1,Yusuf Larsen,20430
19,2023-12-22 18:30,Hafenstadt Mariners,Blitzstadt Lightning,0-4,"Patrick Becker, Florian Silva, Patrick Huber, Emil Larsen",2,"Lukas Müller, Yusuf García",1,Mamadou Larsen,31752
19,2023-12-22 15:30,Sonnendorf Stars,Schwarzwald Strikers,0-1,Yusuf Becker,1,Emil Silva,0,,24039
19,2023-12-22 17:30,Weserwind Wolves,Kaiserstadt Kings,1-4,"Emil Traoré, Santiago Krämer, Yusuf Larsen, Marco García, Ismael Larsen",0,,1,Lukas Becker,33956
20,2023-12-29 20:30,Donnerwald Thunder,Ostheim Phoenix,4-3,"Marco Huber, Emil Lehmann, Mamadou Huber, Marco Krämer, Mamadou Larsen, Emil Krämer, Jonas Huber",1,Lukas García,1,Ismael Huber,27123
20,2023-12-29 15:30,Kaiserstadt Kings,Rheinblick Rovers,0-0,,3,"Patrick Krämer, Emil Traoré, Yusuf Schmidt",0,,52704
20,2023-12-29 15:30,Blitzstadt Lightning,Weserwind Wolves,3-2,"Lukas Silva, Ismael Becker, Yusuf Müller, Santiago Larsen, Santiago Krämer",1,Lukas Kaya,0,,44505
20,2023-12-29 15:30,Eisbach Falcons,Hansestadt Gladiators,1-4,"Ismael Lehmann, Timo Müller, Marco Becker, Florian Traoré, Ismael Traoré",2,"Marco Becker, Florian Larsen",0,,18228
20,2023-12-29 15:30,Nordsee Navigators,Bayerhafen Dynamo,1-0,Lukas García,2,"Mamadou Krämer, Marco Huber",0,,30186
20,2023-12-29 15:30,Alpenheim Warriors,Adlerstadt Eagles,4-3,"Jonas Schmidt, Florian Müller, Ismael García, Ismael Silva, Timo Krämer, Lukas Silva, Ismael Traoré",1,Jonas Müller,1,Ismael Müller,21752
20,2023-12-29 18:30,Hafenstadt Mariners,Elbwelle Titans,1-3,"Patrick Schmidt, Lukas Lehmann, Ismael Krämer, Mamadou Schmidt",2,"Emil Schmidt, Marco Schmidt",1,Patrick García,36888
20,2023-12-29 15:30,Mainburg Lions,Schwarzwald Strikers,1-3,"Ismael Krämer, Timo Müller, Marco Larsen, Emil Lehmann",4,"Mamadou Krämer, Emil Lehmann, Ismael Krämer, Jonas Müller",1,Marco Larsen,48438
20,2023-12-29 17:30,Sonnendorf Stars,Bergland Bears,1-2,"Mamadou Traoré, Jonas Kaya, Lukas Lehmann",4,"Mamadou Traoré, Florian Silva, Lukas Lehmann, Timo Silva",0,,23665
21,2024-01-05 20:30,Bayerhafen Dynamo,Weserwind Wolves,5-1,"Jonas Müller, Jonas Silva, Timo Huber, Yusuf Lehmann, Emil Larsen, Ismael Krämer",1,Yusuf Müller,0,,48411
21,2024-01-05 15:30,Adlerstadt Eagles,Sonnendorf Stars,4-1,"Ismael García, Florian Larsen, Florian Becker, Santiago Müller, Jonas Lehmann",1,Lukas Müller,1,Florian Larsen,67376
21,2024-01-05 15:30,Elbwelle Titans,Kaiserstadt Kings,1-3,"Yusuf Schmidt, Timo Krämer, Mamadou Schmidt, Mamadou Silva",2,"Mamadou Huber, Ismael Kaya",0,,23774
21,2024-01-05 15:30,Blitzstadt Lightning,Hansestadt Gladiators,2-3,"Yusuf Kaya, Jonas Huber, Florian Silva, Patrick Silva, Mamadou Müller",4,"Jonas Huber, Florian Larsen, Marco Lehmann, Florian Traoré",0,,42744
21,2024-01-05 15:30,Hafenstadt Mariners,Nordsee Navigators,5-0,"Patrick Müller, Yusuf Krämer, Jonas Müller, Ismael Larsen, Ismael Kaya",0,,0,,30475
21,2024-01-05 15:30,Eisbach Falcons,Bergland Bears,0-1,Patrick Kaya,0,,1,Yusuf Larsen,19987
21,2024-01-05 18:30,Mainburg Lions,Alpenheim Warriors,5-5,"Marco Larsen, Mamadou Krämer, Marco Kaya, Timo Krämer, Yusuf Larsen, Santiago Huber, Santiago Huber, Ismael Krämer, Patrick Müller, Yusuf Becker",0,,1,Marco Müller,51782
21,2024-01-05 15:30,Rheinblick Rovers,Schwarzwald Strikers,1-2,"Florian Traoré, Santiago Traoré, Emil Silva",1,Yusuf García,1,Yusuf Lehmann,44239
21,2024-01-05 17:30,Donnerwald Thunder,Ostheim Phoenix,3-5,"Yusuf Krämer, Ismael Becker, Marco Huber, Marco Larsen, Lukas García, Timo Kaya, Patrick Kaya, Patrick Larsen",3,"Marco Huber, Florian Traoré, Santiago Kaya",0,,23625
22,2024-01-12 20:30,Adlerstadt Eagles,Weserwind Wolves,1-2,"Yusuf Lehmann, Jonas Becker, Patrick Becker",3,"Patrick Krämer, Mamadou Larsen, Florian Becker",1,Yusuf Huber,70031
22,2024-01-12 15:30,Ostheim Phoenix,Bergland Bears,3-1,"Marco Schmidt, Mamadou Huber, Ismael Becker, Ismael Huber",2,"Ismael Huber, Mamadou Krämer",0,,32540
22,2024-01-12 15:30,Schwarzwald Strikers,Kaiserstadt Kings,5-1,"Emil Lehmann, Timo Müller, Santiago Becker, Santiago Huber, Mamadou Krämer, Yusuf Schmidt",2,"Yusuf Larsen, Yusuf García",1,Lukas Müller,34715
22,2024-01-12 15:30,Bayerhafen Dynamo,Hafenstadt Mariners,3-1,"Mamadou Krämer, Marco Traoré, Ismael Larsen, Marco Becker",0,,0,,45460
22,2024-01-12 15:30,Eisbach Falcons,Donnerwald Thunder,4-3,"Yusuf Larsen, Emil Müller, Lukas Traoré, Patrick Schmidt, Florian Traoré, Marco García, Lukas Müller",3,"Emil Lehmann, Emil Müller, Patrick Larsen",0,,15943
22,2024-01-12 15:30,Mainburg Lions,Blitzstadt Lightning,0-3,"Lukas Müller, Santiago Müller, Lukas Müller",1,Mamadou Traoré,0,,52552
22,2024-01-12 18:30,Elbwelle Titans,Rheinblick Rovers,5-3,"Patrick Krämer, Patrick Krämer, Ismael Silva, Lukas Lehmann, Mamadou Becker, Jonas Lehmann, Ismael García, Mamadou Schmidt",2,"Santiago Traoré, Florian Schmidt",0,,24019
22,2024-01-12 15:30,Alpenheim Warriors,Nordsee Navigators,2-5,"Emil García, Marco Müller, Emil Schmidt, Emil Huber, Emil Lehmann, Lukas García, Santiago Huber",2,"Santiago Huber, Florian Lehmann",1,Marco Müller,23843
22,2024-01-12 17:30,Sonnendorf Stars,Hansestadt Gladiators,1-1,"Yusuf Kaya, Santiago Becker",4,"Emil Traoré, Patrick Larsen, Marco Becker, Patrick Silva",0,,24256
23,2024-01-19 20:30,Bayerhafen Dynamo,Mainburg Lions,3-4,"Florian Lehmann, Jonas Silva, Mamadou Becker, Emil Huber, Emil Müller, Jonas Müller, Emil Huber",3,"Florian Lehmann, Timo Huber, Marco Becker",0,,55047
23,2024-01-19 15:30,Donnerwald Thunder,Blitzstadt Lightning,1-4,"Santiago Müller, Florian Becker, Marco García, Emil Lehmann, Mamadou Larsen",4,"Yusuf García, Yusuf Kaya, Florian Kaya, Emil Becker",0,,21273
23,2024-01-19 15:30,Ostheim Phoenix,Schwarzwald Strikers,3-4,"Ismael García, Yusuf García, Jonas Huber, Yusuf Krämer, Lukas Müller, Marco Lehmann, Emil Krämer",2,"Santiago Silva, Patrick Silva",0,,30471
23,2024-01-19 15:30,Kaiserstadt Kings,Alpenheim Warriors,2-5,"Ismael Kaya, Patrick Müller, Jonas Krämer, Patrick Krämer, Florian Krämer, Marco Becker, Santiago Huber",4,"Patrick Schmidt, Florian Becker, Jonas Krämer, Santiago Huber",1,Timo Krämer,55583
23,2024-01-19 15:30,Bergland Bears,Weserwind Wolves,0-1,Florian Becker,2,"Patrick Kaya, Lukas García",0,,14491
23,2024-01-19 15:30,Elbwelle Titans,Nordsee Navigators,0-5,"Emil Schmidt, Mamadou Müller, Jonas Traoré, Emil Becker, Marco Traoré",3,"Marco Schmidt, Marco Schmidt, Emil Becker",1,Marco Müller,23595
23,2024-01-19 18:30,Hafenstadt Mariners,Sonnendorf Stars,1-5,"Patrick Becker, Yusuf Becker, Jonas Müller, Marco Huber, Florian Kaya, Patrick Schmidt",0,,0,,39721
23,2024-01-19 15:30,Hansestadt Gladiators,Eisbach Falcons,5-3,"Ismael Huber, Mamadou Müller, Yusuf Larsen, Marco Becker, Ismael Lehmann, Timo Müller, Timo Lehmann, Patrick Schmidt",1,Emil Traoré,0,,34676
23,2024-01-19 17:30,Rheinblick Rovers,Adlerstadt Eagles,2-5,"Yusuf Huber, Marco Lehmann, Jonas Kaya, Patrick Larsen, Florian Larsen, Timo Becker, Santiago Lehmann",2,"Ismael García, Santiago Traoré",0,,48897
24,2024-01-26 20:30,Mainburg Lions,Bayerhafen Dynamo,0-1,Marco Larsen,2,"Mamadou Krämer, Patrick Larsen",0,,39811
24,2024-01-26 15:30,Ostheim Phoenix,Sonnendorf Stars,4-0,"Florian Kaya, Marco Lehmann, Mamadou García, Florian Lehmann",1,Marco Traoré,0,,28382
24,2024-01-26 15:30,Weserwind Wolves,Nordsee Navigators,5-5,"Patrick Becker, Jonas Schmidt, Yusuf Müller, Patrick Schmidt, Jonas Müller, Emil Schmidt, Patrick Krämer, Patrick Lehmann, Lukas García, Jonas Huber",1,Lukas Kaya,1,Jonas Huber,28858
24,2024-01-26 15:30,Elbwelle Titans,Donnerwald Thunder,4-1,"Lukas Müller, Florian Traoré, Yusuf Kaya, Ismael Kaya, Emil Lehmann",0,,1,Marco Larsen,24133
24,2024-01-26 15:30,Hafenstadt Mariners,Schwarzwald Strikers,5-4,"Patrick Silva, Lukas Krämer, Ismael Krämer, Mamadou Larsen, Patrick Schmidt, Emil Schmidt, Timo Müller, Emil García, Patrick Becker",4,"Santiago Huber, Yusuf García, Jonas Müller, Mamadou Larsen",1,Jonas Müller,33721
24,2024-01-26 15:30,Hansestadt Gladiators,Eisbach Falcons,1-2,"Lukas Larsen, Yusuf Becker, Marco Krämer",0,,1,Patrick Lehmann,43627
24,2024-01-26 18:30,Adlerstadt Eagles,Blitzstadt Lightning,5-2,"Ismael García, Florian Larsen, Timo Krämer, Lukas Silva, Lukas Huber, Santiago Lehmann, Mamadou Kaya",2,"Lukas Huber, Marco Traoré",0,,57970
24,2024-01-26 15:30,Alpenheim Warriors,Kaiserstadt Kings,2-5,"Florian Krämer, Florian Krämer, Ismael Silva, Marco Becker, Patrick Krämer, Jonas Schmidt, Jonas Lehmann",1,Santiago Silva,0,,21993
24,2024-01-26 17:30,Bergland Bears,Rheinblick Rovers,5-2,"Mamadou Huber, Florian García, Patrick Krämer, Ismael Schmidt, Florian Traoré, Patrick Krämer, Florian Becker",2,"Santiago Lehmann, Santiago Lehmann",1,Santiago Lehmann,19912
25,2024-02-02 20:30,Eisbach Falcons,Elbwelle Titans,0-5,"Santiago Larsen, Florian Kaya, Lukas Lehmann, Timo Huber, Ismael Traoré",3,"Mamadou Silva, Ismael Silva, Santiago Larsen",1,Marco Kaya,18846
25,2024-02-02 15:30,Bergland Bears,Weserwind Wolves,2-0,"Jonas Müller, Yusuf Lehmann",4,"Lukas Kaya, Lukas Lehmann, Ismael Larsen, Emil Traoré",1,Patrick Becker,19912
25,2024-02-02 15:30,Alpenheim Warriors,Schwarzwald Strikers,3-2,"Yusuf Becker, Lukas Huber, Ismael Schmidt, Patrick Silva, Mamadou Huber",2,"Emil Lehmann, Lukas Müller",0,,27396
25,2024-02-02 15:30,Hafenstadt Mariners,Rheinblick Rovers,0-3,"Ismael Krämer, Ismael Schmidt, Santiago Silva",3,"Emil Traoré, Timo Krämer, Patrick García",0,,31290
25,2024-02-02 15:30,Sonnendorf Stars,Blitzstadt Lightning,1-0,Timo Krämer,1,Florian Lehmann,0,,24115
25,2024-02-02 15:30,Donnerwald Thunder,Ostheim Phoenix,0-0,,2,"Emil Lehmann, Yusuf Krämer",1,Emil Lehmann,24506
25,2024-02-02 18:30,Bayerhafen Dynamo,Hansestadt Gladiators,5-2,"Jonas Huber, Emil Traoré, Marco Lehmann, Emil Silva, Emil Larsen, Ismael Kaya, Emil Müller",1,Emil Traoré,0,,43976
25,2024-02-02 15:30,Kaiserstadt Kings,Nordsee Navigators,3-1,"Jonas Schmidt, Marco Müller, Marco Schmidt, Mamadou Becker",1,Jonas Huber,0,,49633
25,2024-02-02 17:30,Adlerstadt Eagles,Mainburg Lions,5-0,"Lukas Müller, Jonas Müller, Ismael García, Ismael Traoré, Florian Müller",0,,0,,71025
26,2024-02-09 20:30,Blitzstadt Lightning,Hansestadt Gladiators,3-1,"Jonas Lehmann, Marco Traoré, Emil Becker, Timo Krämer",1,Lukas Silva,1,Yusuf Kaya,41481
26,2024-02-09 15:30,Sonnendorf Stars,Weserwind Wolves,1-0,Jonas Müller,4,"Jonas Traoré, Florian Huber, Florian Kaya, Jonas Becker",0,,28306
26,2024-02-09 15:30,Schwarzwald Strikers,Donnerwald Thunder,0-1,Mamadou Huber,1,Santiago Silva,1,Patrick Silva,35450
26,2024-02-09 15:30,Bayerhafen Dynamo,Nordsee Navigators,0-3,"Florian Huber, Patrick Larsen, Marco Schmidt",3,"Jonas Schmidt, Florian Huber, Yusuf Lehmann",0,,46499
26,2024-02-09 15:30,Adlerstadt Eagles,Bergland Bears,3-0,"Mamadou Huber, Florian Müller, Jonas Kaya",1,Santiago Lehmann,0,,62975
26,2024-02-09 15:30,Elbwelle Titans,Hafenstadt Mariners,3-5,"Lukas Krämer, Ismael Krämer, Mamadou Schmidt, Timo Huber, Patrick Huber, Mamadou Larsen, Ismael García, Emil García",2,"Patrick Becker, Mamadou Schmidt",1,Mamadou Larsen,23214
26,2024-02-09 18:30,Ostheim Phoenix,Eisbach Falcons,2-3,"Mamadou García, Florian Kaya, Emil García, Jonas Becker, Marco Traoré",1,Ismael Lehmann,0,,33572
26,2024-02-09 15:30,Alpenheim Warriors,Kaiserstadt Kings,0-5,"Florian Becker, Jonas Müller, Santiago Traoré, Patrick Müller, Mamadou Larsen",4,"Marco Becker, Patrick Müller, Santiago Becker, Santiago Traoré",1,Santiago Becker,20857
26,2024-02-09 17:30,Mainburg Lions,Rheinblick Rovers,1-2,"Santiago Huber, Marco Huber, Ismael Krämer",4,"Marco Huber, Yusuf Larsen, Marco Larsen, Santiago Silva",1,Ismael Krämer,40726
27,2024-02-16 20:30,Kaiserstadt Kings,Alpenheim Warriors,3-2,"Timo Krämer, Florian Becker, Ismael Becker, Santiago Silva, Mamadou García",3,"Santiago Becker, Emil Traoré, Mamadou Larsen",0,,48158
27,2024-02-16 15:30,Ostheim Phoenix,Elbwelle Titans,2-5,"Jonas Larsen, Patrick Müller, Mamadou García, Marco Schmidt, Mamadou Becker, Lukas Müller, Mamadou Huber",1,Lukas Krämer,0,,32739
27,2024-02-16 15:30,Mainburg Lions,Donnerwald Thunder,2-2,"Florian Silva, Marco Lehmann, Emil Huber, Yusuf Kaya",1,Emil Lehmann,1,Yusuf Larsen,40963
27,2024-02-16 15:30,Rheinblick Rovers,Sonnendorf Stars,2-4,"Florian Traoré, Patrick Krämer, Florian Lehmann, Santiago Traoré, Santiago Lehmann, Santiago Lehmann",4,"Yusuf Huber, Mamadou Silva, Jonas Traoré, Ismael Huber",0,,42220
27,2024-02-16 15:30,Adlerstadt Eagles,Hansestadt Gladiators,3-0,"Emil Huber, Jonas Silva, Jonas Huber",2,"Florian Larsen, Florian Becker",1,Florian Larsen,58213
27,2024-02-16 15:30,Hafenstadt Mariners,Blitzstadt Lightning,5-0,"Jonas Müller, Patrick Schmidt, Timo Krämer, Lukas Krämer, Ismael Becker",0,,0,,36561
27,2024-02-16 18:30,Bergland Bears,Nordsee Navigators,5-5,"Patrick Kaya, Emil Lehmann, Marco Schmidt, Marco Traoré, Ismael Schmidt, Marco Müller, Lukas Lehmann, Mamadou Huber, Jonas Traoré, Lukas García",1,Mamadou Traoré,0,,14646
27,2024-02-16 15:30,Schwarzwald Strikers,Bayerhafen Dynamo,4-3,"Emil Krämer, Santiago Huber, Emil Becker, Emil Huber, Patrick Lehmann, Timo García, Jonas Huber",2,"Santiago Huber, Patrick Silva",1,Timo García,27914
27,2024-02-16 17:30,Weserwind Wolves,Eisbach Falcons,3-3,"Ismael Schmidt, Yusuf Lehmann, Santiago Huber, Emil García, Ismael Lehmann, Patrick Schmidt",1,Marco Traoré,0,,29520
28,2024-02-23 20:30,Blitzstadt Lightning,Schwarzwald Strikers,5-1,"Yusuf Lehmann, Lukas Müller, Mamadou Larsen, Santiago Larsen, Ismael Schmidt, Emil Becker",4,"Patrick Silva, Lukas Huber, Lukas Müller, Yusuf García",0,,37176
28,2024-02-23 15:30,Bayerhafen Dynamo,Hansestadt Gladiators,4-2,"Timo Huber, Emil Krämer, Marco Becker, Santiago Kaya, Emil Larsen, Timo Lehmann",4,"Ismael Krämer, Yusuf Kaya, Florian Lehmann, Jonas Huber",0,,53039
28,2024-02-23 15:30,Weserwind Wolves,Nordsee Navigators,2-1,"Marco Schmidt, Jonas Schmidt, Santiago Krämer",3,"Marco Traoré, Mamadou Schmidt, Jonas Müller",1,Marco Traoré,27619
28,2024-02-23 15:30,Eisbach Falcons,Mainburg Lions,3-5,"Ismael García, Patrick Lehmann, Florian Kaya, Ismael Traoré, Mamadou Traoré, Patrick Schmidt, Timo Müller, Mamadou Krämer",0,,0,,18653
28,2024-02-23 15:30,Elbwelle Titans,Rheinblick Rovers,2-1,"Patrick Krämer, Santiago Krämer, Santiago Traoré",0,,0,,20197
