Team Name,Surname,Lastname,Nationality,Age,Height (cm),Weight (kg),Market Value (EURO),Strong Foot,Position,Homegrown Player,International Player,International Games
Eisbach Falcons,Yusuf,Larsen,Italy,32,182,60,2045510,Left,SW,No,Yes,20
Eisbach Falcons,Ismael,Lehmann,Netherlands,20,194,71,8701734,Both,RM,No,Yes,0
Eisbach Falcons,Timo,Traoré,Turkey,36,181,69,9142139,Both,LM,No,No,0
Eisbach Falcons,Emil,Lehmann,England,25,178,66,6661878,Both,RWB,Yes,No,0
Hafenstadt Mariners,Yusuf,Krämer,Germany,17,185,90,6423802,Left,GK,No,No,0
Hafenstadt Mariners,Yusuf,García,Brazil,27,200,63,6105216,Left,RB,Yes,No,0
Hafenstadt Mariners,Patrick,Schmidt,Belgium,31,185,70,3338883,Both,RM,No,No,13
Hafenstadt Mariners,Ismael,Larsen,Brazil,26,165,71,9545929,Right,SS,Yes,Yes,0
Hafenstadt Mariners,Emil,García,Senegal,34,200,61,6152034,Right,CM,No,Yes,0
Hafenstadt Mariners,Florian,Kaya,Netherlands,36,182,79,5341663,Both,RWB,No,Yes,0
Hafenstadt Mariners,Mamadou,Larsen,Italy,25,172,85,8236879,Both,CAM,No,No,0
Hafenstadt Mariners,Timo,Lehmann,Belgium,31,175,78,2677220,Right,LWB,No,Yes,44
Hafenstadt Mariners,Patrick,Huber,Brazil,27,183,69,8297205,Both,CB,Yes,Yes,44
Hafenstadt Mariners,Lukas,Lehmann,France,20,177,76,5432744,Both,SW,Yes,No,34
Hafenstadt Mariners,Patrick,García,Poland,24,188,69,8130251,Both,SS,No,Yes,0
Hafenstadt Mariners,Timo,Krämer,Spain,17,168,70,2219425,Both,LM,No,No,39
Hafenstadt Mariners,Jonas,Müller,Turkey,20,191,69,1850785,Right,RW,Yes,Yes,40
Hafenstadt Mariners,Yusuf,Schmidt,Senegal,27,167,78,2668715,Right,RWB,No,Yes,25
Hafenstadt Mariners,Patrick,Becker,England,21,178,66,4357239,Left,CM,Yes,Yes,0
Hafenstadt Mariners,Timo,Krämer,Ivory Coast,18,176,64,1410442,Right,RWB,No,Yes,10
Hafenstadt Mariners,Marco,Traoré,Ivory Coast,20,171,86,7619523,Left,CDM,No,No,0
Hafenstadt Mariners,Ismael,Krämer,Brazil,26,176,86,5285996,Both,LW,Yes,Yes,0
Hafenstadt Mariners,Patrick,Müller,Turkey,18,189,62,6146599,Right,RWB,Yes,No,0
Hafenstadt Mariners,Lukas,Krämer,Spain,33,175,72,6101739,Both,CDM,Yes,Yes,0
Hafenstadt Mariners,Patrick,Schmidt,Brazil,27,197,90,3469080,Both,CM,No,Yes,0
Hafenstadt Mariners,Marco,Huber,Brazil,31,179,64,1181397,Left,CDM,Yes,Yes,0
Hafenstadt Mariners,Timo,Lehmann,Poland,22,176,67,5814406,Both,CDM,No,Yes,0
Donnerwald Thunder,Florian,Traoré,Senegal,29,165,79,5507976,Both,LM,Yes,Yes,3
Donnerwald Thunder,Mamadou,Larsen,France,34,175,75,2515143,Left,LB,No,No,0
Donnerwald Thunder,Timo,Kaya,Belgium,30,178,74,3739005,Right,LW,No,Yes,0
Donnerwald Thunder,Marco,Larsen,Belgium,17,192,77,9439928,Left,ST,No,No,0
Donnerwald Thunder,Florian,Kaya,Argentina,31,167,67,5676449,Both,SS,Yes,Yes,0
Donnerwald Thunder,Marco,García,France,26,175,70,7468998,Right,RWB,Yes,Yes,0
Donnerwald Thunder,Emil,Lehmann,Germany,29,196,77,9445166,Right,RW,Yes,No,0
Donnerwald Thunder,Yusuf,Kaya,Belgium,20,167,82,7973145,Both,LW,No,No,31
Donnerwald Thunder,Emil,Müller,Denmark,35,173,90,6632761,Left,LM,Yes,Yes,31
Donnerwald Thunder,Florian,Silva,Germany,26,171,86,1267285,Both,LW,Yes,No,0
Donnerwald Thunder,Emil,Lehmann,Poland,19,188,63,3103354,Left,LW,Yes,No,0
Donnerwald Thunder,Patrick,Larsen,Germany,29,167,66,7360724,Left,CM,Yes,No,0
Donnerwald Thunder,Marco,Krämer,Spain,17,187,68,3821043,Left,ST,No,No,37
Donnerwald Thunder,Lukas,García,Brazil,19,193,61,2669416,Left,CDM,No,No,9
Donnerwald Thunder,Lukas,Müller,Ivory Coast,23,197,83,7665840,Right,RM,No,Yes,44
Donnerwald Thunder,Ismael,Kaya,Ivory Coast,17,195,67,8895237,Both,SS,No,Yes,45
Donnerwald Thunder,Lukas,Krämer,Denmark,33,165,60,4359680,Both,CF,No,No,0
Donnerwald Thunder,Marco,Lehmann,Belgium,22,169,65,2013812,Right,CB,Yes,No,45
Hansestadt Gladiators,Timo,Lehmann,England,18,188,76,9261211,Both,CF,Yes,Yes,34
Hansestadt Gladiators,Marco,Lehmann,Spain,34,166,69,9033093,Right,GK,No,Yes,37
Hansestadt Gladiators,Emil,Silva,Denmark,35,186,65,6601078,Both,SS,No,No,24
Hansestadt Gladiators,Patrick,Silva,Belgium,27,188,60,9232032,Both,SW,No,Yes,0
Hansestadt Gladiators,Ismael,Huber,Poland,35,171,85,7716507,Right,CDM,No,Yes,38
Hansestadt Gladiators,Florian,Traoré,Denmark,28,173,68,8153178,Both,SS,Yes,No,0
Hansestadt Gladiators,Emil,Traoré,England,26,199,80,2883754,Left,RWB,No,No,25
Hansestadt Gladiators,Mamadou,Müller,France,27,174,61,6061770,Both,ST,No,Yes,46
Hansestadt Gladiators,Yusuf,Kaya,Senegal,20,165,64,4750147,Both,CF,Yes,No,0
Hansestadt Gladiators,Jonas,Huber,Senegal,21,191,85,7853084,Left,SW,Yes,No,0
Hansestadt Gladiators,Emil,García,Germany,26,166,67,2869929,Left,LM,No,Yes,0
Hansestadt Gladiators,Emil,Huber,Senegal,27,173,78,5299999,Both,CDM,No,Yes,0
Hansestadt Gladiators,Lukas,Larsen,Brazil,27,170,64,9292346,Right,GK,No,No,0
Hansestadt Gladiators,Mamadou,Becker,Brazil,35,196,67,2257037,Right,LWB,No,No,0
Hansestadt Gladiators,Ismael,Kaya,Italy,31,176,72,5020178,Left,GK,No,Yes,0
Hansestadt Gladiators,Florian,Larsen,Italy,21,197,86,4184815,Both,SS,Yes,No,0
Hansestadt Gladiators,Patrick,Larsen,Poland,22,183,83,4761967,Right,LM,Yes,No,0
Hansestadt Gladiators,Marco,Becker,Japan,27,166,64,8514424,Both,RM,No,No,0
Hansestadt Gladiators,Emil,Traoré,Denmark,25,166,71,7341309,Right,LWB,Yes,No,0
Hansestadt Gladiators,Marco,Krämer,Poland,24,196,85,3498877,Right,LM,Yes,Yes,0
Hansestadt Gladiators,Jonas,Lehmann,Belgium,17,188,90,5668590,Right,ST,Yes,No,19
Hansestadt Gladiators,Patrick,Silva,Netherlands,34,192,61,5753542,Both,CB,Yes,Yes,0
Elbwelle Titans,Marco,Schmidt,Brazil,26,169,66,1052934,Both,RM,No,Yes,0
Elbwelle Titans,Timo,Huber,Turkey,22,198,81,4481277,Right,CM,No,No,0
Elbwelle Titans,Mamadou,Schmidt,Netherlands,24,172,86,1060443,Left,CAM,Yes,No,24
Elbwelle Titans,Florian,Schmidt,Poland,33,165,66,3983733,Both,CAM,No,No,0
Elbwelle Titans,Florian,García,Argentina,30,193,84,7572784,Both,CM,No,No,0
Elbwelle Titans,Jonas,Larsen,Argentina,33,172,68,2031313,Right,LB,No,Yes,49
Elbwelle Titans,Jonas,Huber,Poland,31,183,65,9014571,Both,RB,Yes,Yes,0
Elbwelle Titans,Ismael,García,Italy,17,182,61,7527482,Both,GK,No,Yes,5
Elbwelle Titans,Yusuf,Schmidt,Turkey,22,172,82,4710278,Left,RW,No,Yes,16
Elbwelle Titans,Mamadou,Müller,Turkey,25,175,80,1438338,Both,RB,No,Yes,46
Elbwelle Titans,Ismael,Traoré,France,33,177,67,4971302,Left,CB,Yes,No,0
Elbwelle Titans,Lukas,Lehmann,England,26,185,60,6216324,Right,CAM,No,No,40
Elbwelle Titans,Mamadou,Silva,Netherlands,17,171,73,4045339,Both,CAM,Yes,No,15
Elbwelle Titans,Jonas,Silva,England,33,174,83,7472436,Right,CAM,Yes,Yes,44
Elbwelle Titans,Mamadou,Huber,Turkey,17,198,71,7336571,Left,LB,No,Yes,19
Elbwelle Titans,Mamadou,Lehmann,Italy,20,187,75,6618689,Right,LB,Yes,No,24
Elbwelle Titans,Mamadou,Becker,Poland,27,178,60,2575042,Both,CB,No,No,0
Elbwelle Titans,Emil,Becker,Brazil,29,189,70,4008870,Left,GK,No,Yes,0
Elbwelle Titans,Florian,Schmidt,Poland,26,179,67,1609888,Both,SS,No,No,27
Elbwelle Titans,Emil,Schmidt,Italy,27,165,62,1619972,Both,CB,No,No,25
Elbwelle Titans,Ismael,Silva,Spain,33,183,75,2972468,Both,CF,No,No,0
Elbwelle Titans,Santiago,Krämer,Italy,34,198,78,8477240,Left,LB,Yes,No,0
